frame_id,track_id,x,y,w,h,score,timestamp
53,12,833.9,127.4,46.5,124.5,0.85,5.2
53,13,859.6,141.6,54.6,123.7,0.88,5.2
53,14,849.1,116.9,49.4,117.0,0.95,5.2
53,20,334.0,104.3,43.1,109.9,0.92,5.2
53,21,1061.1,101.4,41.3,111.6,0.98,5.2
53,30,399.4,39.2,39.2,95.8,0.95,5.2
54,1,519.9,41.4,35.0,91.4,0.9,5.3
54,2,348.8,170.4,48.6,137.3,0.89,5.3
54,10,872.2,124.5,45.8,123.0,0.86,5.3
54,11,827.3,148.9,55.4,129.0,0.96,5.3
54,12,834.8,128.5,47.6,121.3,0.89,5.3
54,13,859.2,141.4,49.2,125.9,0.93,5.3
54,14,857.6,114.9,45.4,121.0,0.96,5.3
54,20,344.1,99.4,43.5,114.2,0.92,5.3
54,21,1048.5,92.8,50.2,116.1,0.87,5.3
54,30,393.2,43.1,38.5,96.5,0.96,5.3
55,1,518.1,38.2,41.4,95.1,0.83,5.4
55,2,338.8,175.2,60.2,139.8,0.9,5.4
55,10,873.8,133.8,49.4,120.3,0.86,5.4
55,11,827.7,144.7,57.3,130.8,0.93,5.4
55,12,831.6,131.0,43.1,122.7,0.94,5.4
55,13,857.5,139.9,52.5,129.7,0.9,5.4
55,14,855.5,116.9,49.3,116.2,0.85,5.4
55,20,338.2,102.8,40.5,113.8,0.85,5.4
55,21,1053.3,104.7,47.1,112.9,0.85,5.4
55,30,402.4,37.9,42.0,99.1,0.93,5.4
56,1,520.5,43.6,37.9,89.1,0.84,5.5
56,2,340.3,176.5,54.3,139.2,0.89,5.5
56,10,875.0,131.2,44.0,121.1,0.96,5.5
56,11,827.3,144.4,52.2,130.3,0.92,5.5
56,12,831.5,130.7,52.8,118.5,0.93,5.5
56,13,862.2,141.5,44.1,125.5,0.86,5.5
56,14,857.9,120.4,48.4,114.7,0.86,5.5
56,20,342.2,97.4,50.4,115.5,0.91,5.5
56,21,1053.5,103.0,45.1,112.9,0.86,5.5
56,30,397.7,50.7,32.2,90.0,0.93,5.5
57,1,520.0,40.3,35.3,92.4,0.87,5.6
57,2,341.1,176.7,53.0,138.2,0.99,5.6
57,10,870.6,126.0,44.7,126.1,0.99,5.6
57,11,828.5,145.2,45.8,130.0,0.86,5.6
57,12,833.9,128.8,47.2,124.4,0.93,5.6
57,13,858.9,143.0,49.4,126.5,0.91,5.6
57,14,855.5,116.1,46.8,119.0,0.99,5.6
57,20,328.5,104.4,51.3,115.9,0.85,5.6
57,21,1044.4,96.1,49.8,114.8,0.91,5.6
57,30,399.3,44.0,35.9,93.2,0.9,5.6
58,1,518.6,37.8,35.2,93.2,0.93,5.7
58,2,345.2,177.5,50.7,136.0,0.85,5.7
58,10,866.6,125.9,52.6,121.0,0.95,5.7
58,11,830.0,150.8,50.4,128.5,0.86,5.7
58,12,839.0,126.0,44.0,125.5,0.85,5.7
58,13,856.0,142.3,56.3,127.4,0.89,5.7
58,14,852.6,111.3,53.4,122.0,0.9,5.7
58,20,341.2,104.8,45.6,113.6,0.99,5.7
58,21,1041.5,96.5,51.5,115.5,0.87,5.7
58,30,399.2,42.1,40.3,94.6,0.87,5.7
59,1,517.5,37.7,38.3,93.8,0.89,5.8
59,2,327.9,183.6,62.3,140.9,0.93,5.8
59,10,874.7,132.7,44.1,119.3,0.93,5.8
59,11,830.1,148.4,52.4,125.5,0.92,5.8
59,12,834.7,124.8,49.5,123.9,0.86,5.8
59,13,863.8,141.0,48.8,125.4,0.85,5.8
59,14,860.1,114.2,44.1,120.7,0.76,5.8
59,20,347.8,106.6,41.8,112.4,0.89,5.8
59,21,1041.7,98.3,48.3,113.3,0.97,5.8
59,30,403.2,43.0,33.4,92.0,0.86,5.8
60,1,522.2,36.6,34.7,95.0,0.83,5.9
60,2,339.0,176.4,51.3,139.3,0.87,5.9
60,10,866.4,125.9,53.4,121.7,0.84,5.9
60,11,828.5,149.2,46.0,126.2,0.89,5.9
60,12,829.2,127.8,55.1,122.7,0.91,5.9
60,13,857.5,138.6,56.4,127.7,0.91,5.9
60,14,856.3,111.2,50.0,120.1,0.98,5.9
60,20,344.1,100.6,50.4,113.4,0.99,5.9
60,21,1044.5,105.3,41.1,112.4,0.9,5.9
60,30,403.3,41.3,34.9,95.9,0.81,5.9
61,1,518.3,39.4,37.4,94.9,0.97,6.0
61,2,333.3,177.3,57.1,138.5,0.82,6.0
61,10,868.6,124.8,46.3,121.6,0.9,6.0
61,11,828.4,146.1,57.2,129.2,0.83,6.0
61,12,835.5,134.3,44.2,120.1,0.85,6.0
61,13,860.8,139.7,52.4,127.2,0.92,6.0
61,14,854.8,115.7,42.8,117.3,0.88,6.0
61,20,344.6,99.0,42.6,114.1,0.85,6.0
61,21,1039.4,102.1,44.6,112.6,0.88,6.0
61,30,404.9,42.8,39.3,94.7,0.98,6.0
61,31,176.1,258.0,74.3,166.0,0.9,6.0
62,1,516.4,38.2,41.9,95.5,0.91,6.1
62,2,334.9,177.9,59.3,136.2,0.94,6.1
62,10,872.3,126.7,46.2,120.0,0.86,6.1
62,11,828.9,145.5,54.9,129.9,0.89,6.1
62,12,834.3,129.6,46.4,119.8,0.96,6.1
62,13,862.1,140.4,45.2,127.0,0.94,6.1
62,14,857.3,115.2,51.2,118.9,0.92,6.1
62,20,352.4,101.5,45.9,112.4,0.87,6.1
62,21,1039.1,104.7,46.9,114.2,0.85,6.1
62,30,406.0,39.1,36.3,95.5,0.97,6.1
62,31,183.6,260.9,63.8,160.3,0.93,6.1
63,1,516.5,39.8,40.8,92.7,0.88,6.2
63,2,341.3,177.1,56.9,139.7,0.81,6.2
63,10,867.9,125.4,52.1,122.9,0.93,6.2
63,11,833.6,145.0,46.5,127.5,0.91,6.2
63,12,831.5,132.6,44.5,122.0,0.93,6.2
63,13,857.6,140.9,48.5,126.3,0.89,6.2
63,14,858.1,115.9,46.2,117.4,0.98,6.2
63,20,349.1,101.0,45.0,115.2,0.99,6.2
63,21,1035.0,99.8,41.4,115.4,0.87,6.2
63,30,411.1,45.5,35.5,91.5,0.94,6.2
63,31,183.0,257.4,73.1,164.4,0.84,6.2
64,1,519.7,38.8,34.6,93.6,0.87,6.3
64,2,342.8,175.6,57.9,134.6,0.76,6.3
64,10,862.8,129.4,54.3,121.0,0.92,6.3
64,11,829.5,141.9,58.9,131.5,0.94,6.3
64,12,833.1,128.8,49.9,123.4,0.92,6.3
64,13,859.9,140.3,54.7,127.3,0.89,6.3
64,14,854.9,113.4,52.9,118.0,0.96,6.3
64,20,362.0,97.7,42.9,118.0,0.87,6.3
64,21,1037.8,101.2,43.9,114.4,0.92,6.3
64,30,405.7,38.7,36.3,96.8,0.96,6.3
64,31,190.0,251.2,58.7,164.8,0.94,6.3
65,1,522.1,39.2,37.5,91.4,0.85,6.4
65,2,348.0,171.5,54.0,140.4,0.94,6.4
65,10,868.0,130.5,49.0,121.1,0.86,6.4
65,11,833.9,151.4,46.2,123.8,0.8,6.4
65,12,829.3,128.6,53.5,123.2,0.86,6.4
65,13,865.8,140.0,44.3,126.5,0.96,6.4
65,14,857.1,111.9,50.8,123.0,0.82,6.4
65,20,349.1,102.6,49.3,117.3,0.92,6.4
65,21,1019.8,98.6,47.4,113.1,0.93,6.4
65,30,408.2,42.7,36.6,93.9,0.91,6.4
65,31,190.6,254.4,57.7,163.0,0.98,6.4
66,1,522.1,43.4,34.0,89.6,0.99,6.5
66,2,345.3,180.8,49.9,137.9,0.99,6.5
66,10,866.2,128.4,48.2,120.2,0.99,6.5
66,11,827.1,141.6,55.5,133.7,0.96,6.5
66,12,828.3,129.3,52.3,122.8,0.92,6.5
66,13,858.4,141.4,52.2,123.6,0.9,6.5
66,14,856.5,117.0,46.7,117.1,0.85,6.5
66,20,354.6,103.9,44.6,116.5,0.85,6.5
66,21,1028.0,100.0,47.8,112.3,0.91,6.5
66,30,423.4,37.3,37.4,90.5,0.99,6.5
66,31,189.0,257.9,62.0,159.9,0.81,6.5
67,1,520.5,35.4,35.6,95.6,0.94,6.6
67,2,340.1,179.4,59.8,133.7,0.81,6.6
67,10,865.3,122.9,44.7,123.0,0.92,6.6
67,11,830.9,145.4,49.6,131.4,0.88,6.6
67,12,828.6,125.8,50.8,124.9,0.86,6.6
67,13,860.5,142.3,48.5,129.0,0.81,6.6
67,14,851.8,119.7,49.9,114.0,0.81,6.6
67,20,359.8,104.6,47.5,111.6,0.89,6.6
67,21,1029.8,102.6,48.0,116.5,0.86,6.6
67,30,410.6,39.6,40.3,94.9,0.85,6.6
67,31,190.3,250.6,57.5,161.3,0.9,6.6
68,1,518.8,36.2,40.4,95.9,0.91,6.7
68,2,338.9,174.9,57.7,139.4,0.91,6.7
68,10,873.3,134.0,48.9,120.0,0.77,6.7
68,11,832.2,150.7,50.8,128.0,0.88,6.7
68,12,834.4,128.2,42.0,116.9,0.83,6.7
68,13,858.6,141.6,55.3,124.4,0.95,6.7
68,14,854.2,114.9,52.4,120.8,0.86,6.7
68,20,374.6,98.3,41.3,113.5,0.81,6.7
68,21,1018.3,97.8,47.6,112.7,0.97,6.7
68,30,413.8,42.7,39.0,93.2,0.94,6.7
68,31,201.0,243.2,67.8,162.1,0.91,6.7
69,1,520.5,43.5,36.9,89.2,0.85,6.8
69,2,341.5,178.2,50.6,137.0,0.83,6.8
69,10,866.3,122.8,54.6,125.6,0.92,6.8
69,11,831.5,151.2,48.8,128.2,0.86,6.8
69,12,833.2,128.7,45.7,121.0,0.9,6.8
69,13,857.4,140.8,51.6,123.2,0.91,6.8
69,14,858.5,115.4,43.6,119.5,0.94,6.8
69,20,363.9,105.5,43.5,109.5,0.87,6.8
69,21,1018.0,99.1,46.5,113.2,0.94,6.8
69,30,418.0,39.3,38.2,92.8,0.94,6.8
69,31,199.6,247.7,67.2,164.4,0.95,6.8
70,1,521.3,38.9,40.3,93.5,0.93,6.9
70,2,329.3,177.1,55.9,142.4,0.83,6.9
70,10,865.2,128.5,55.1,123.2,0.89,6.9
70,11,828.6,149.2,53.4,128.9,0.87,6.9
70,12,830.8,124.9,50.9,126.6,0.99,6.9
70,13,861.1,140.6,45.0,128.1,0.85,6.9
70,14,858.2,114.2,43.2,114.9,0.96,6.9
70,20,364.8,108.4,42.3,115.5,0.85,6.9
70,21,1023.2,97.7,45.2,112.7,0.86,6.9
70,30,417.3,40.5,36.6,89.8,0.95,6.9
70,31,198.3,261.2,66.9,158.3,0.97,6.9
71,1,517.8,37.6,37.9,95.3,0.84,7.0
71,2,340.9,172.7,51.5,141.8,0.99,7.0
71,10,866.8,124.3,50.8,126.2,0.87,7.0
71,11,827.6,147.0,57.2,127.7,0.89,7.0
71,12,835.5,127.5,50.9,124.4,0.88,7.0
71,13,862.0,142.1,45.1,123.1,0.97,7.0
71,14,856.7,115.4,47.2,118.3,0.96,7.0
71,20,368.1,101.0,48.4,111.1,0.89,7.0
71,21,1017.9,100.8,48.6,116.8,0.94,7.0
71,30,417.1,38.1,39.7,93.5,0.89,7.0
71,31,193.0,247.6,69.8,164.5,0.81,7.0
72,1,522.5,45.0,31.6,89.3,0.87,7.1
72,2,338.1,175.4,50.8,141.7,0.9,7.1
72,10,871.3,130.2,44.1,118.7,0.9,7.1
72,11,832.2,148.4,46.7,128.5,0.92,7.1
72,12,833.8,131.5,47.6,121.0,0.9,7.1
72,13,857.7,142.1,51.9,126.4,0.88,7.1
72,14,855.8,117.8,50.8,115.8,0.93,7.1
72,20,369.2,101.2,44.7,115.4,0.92,7.1
72,21,1016.9,102.4,45.7,112.3,0.89,7.1
72,30,421.2,38.3,40.8,93.9,0.95,7.1
72,31,205.2,251.9,58.2,166.0,0.91,7.1
73,1,522.3,42.9,35.3,90.2,0.88,7.2
73,2,336.0,171.8,61.3,137.6,0.92,7.2
73,10,870.2,131.5,44.0,119.1,0.84,7.2
73,11,831.1,149.6,48.0,127.1,0.91,7.2
73,12,832.6,130.5,52.4,121.8,0.92,7.2
73,13,858.2,138.6,54.5,127.3,0.97,7.2
73,14,856.8,114.3,45.7,118.4,0.94,7.2
73,20,377.1,98.7,47.5,115.0,0.97,7.2
73,21,1009.0,102.6,51.4,116.3,0.86,7.2
73,30,420.0,36.1,41.2,94.0,0.9,7.2
73,31,204.6,254.7,57.1,161.8,0.92,7.2
74,1,521.8,40.5,40.1,90.6,0.95,7.3
74,2,339.1,178.0,54.3,139.8,0.9,7.3
74,10,867.4,128.5,47.6,122.5,0.87,7.3
74,11,830.8,150.4,52.9,125.4,0.97,7.3
74,12,831.8,131.7,51.2,121.2,0.84,7.3
74,13,858.1,141.9,53.7,129.8,0.8,7.3
74,14,853.4,112.7,49.6,117.0,0.91,7.3
74,20,373.6,104.7,46.0,117.1,0.85,7.3
74,21,1006.0,100.8,51.5,115.4,0.87,7.3
74,30,421.9,37.7,38.4,93.1,0.84,7.3
74,31,195.3,250.1,64.7,161.5,0.83,7.3
75,1,521.6,37.4,33.1,94.1,0.93,7.4
75,2,342.3,172.0,49.3,140.8,0.88,7.4
75,10,870.6,126.2,43.5,124.1,0.95,7.4
75,11,819.6,151.3,56.8,128.3,0.91,7.4
75,12,829.0,132.3,43.9,123.5,0.89,7.4
75,13,865.2,143.9,46.7,126.1,0.86,7.4
75,14,856.1,113.9,48.9,118.1,0.88,7.4
75,20,377.4,102.1,48.5,114.7,0.97,7.4
75,21,1006.0,95.6,44.7,112.3,0.85,7.4
75,30,421.4,41.0,38.2,92.5,0.97,7.4
75,31,205.7,244.3,57.6,160.4,0.95,7.4
76,1,523.0,40.6,31.8,90.4,0.91,7.5
76,2,339.7,175.1,57.3,136.9,0.83,7.5
76,10,871.8,128.0,49.9,121.7,0.87,7.5
76,11,831.1,148.5,46.9,125.7,0.88,7.5
76,12,836.2,127.7,48.7,124.2,0.87,7.5
76,13,857.4,139.8,48.1,127.1,0.82,7.5
76,14,861.8,111.5,43.0,117.7,0.81,7.5
76,20,390.3,101.5,44.7,112.2,0.83,7.5
76,21,1001.5,96.6,50.4,116.3,0.99,7.5
76,30,435.0,35.2,33.5,93.6,0.83,7.5
76,31,204.2,243.6,68.5,163.3,0.95,7.5
77,1,519.7,40.2,40.6,92.1,0.86,7.6
77,2,337.0,177.2,52.3,137.1,0.89,7.6
77,10,870.4,126.7,50.5,119.8,0.89,7.6
77,11,823.0,143.2,59.1,132.1,0.89,7.6
77,12,830.4,133.1,46.0,120.9,0.93,7.6
77,13,860.7,139.6,46.7,128.7,0.92,7.6
77,14,856.9,115.7,49.4,121.6,0.91,7.6
77,20,379.3,101.0,50.1,113.6,0.99,7.6
77,21,1002.1,97.6,45.2,113.7,0.89,7.6
77,30,428.8,40.5,41.6,92.5,0.86,7.6
77,31,207.3,245.6,62.6,160.1,0.95,7.6
78,1,520.1,37.6,33.6,93.9,0.75,7.7
78,2,343.5,175.1,50.7,140.2,0.93,7.7
78,10,871.5,131.0,41.9,119.1,0.8,7.7
78,11,828.7,143.3,50.4,131.2,0.91,7.7
78,12,827.6,127.7,54.9,124.9,0.96,7.7
78,13,865.0,139.3,46.3,128.4,0.96,7.7
78,14,858.9,116.6,43.2,116.8,0.85,7.7
78,20,384.4,96.2,50.5,114.3,0.82,7.7
78,21,1006.1,102.3,40.2,113.1,0.97,7.7
78,30,426.8,42.7,39.5,92.2,0.99,7.7
78,31,195.6,254.1,65.8,161.0,0.83,7.7
79,1,519.2,37.8,39.4,95.8,0.87,7.8
79,2,330.7,182.2,59.3,140.3,0.91,7.8
79,10,871.6,124.3,52.9,121.9,0.88,7.8
79,11,830.3,145.6,46.6,131.5,0.84,7.8
79,12,829.4,128.5,48.4,127.5,0.97,7.8
79,13,861.0,139.6,45.0,126.2,0.86,7.8
79,14,859.7,113.8,44.5,120.5,0.9,7.8
79,20,390.5,106.9,40.8,109.6,0.83,7.8
79,21,999.0,97.7,42.1,114.7,0.92,7.8
79,30,428.0,40.3,40.6,91.6,0.92,7.8
79,31,216.9,243.4,57.8,156.4,0.87,7.8
80,1,523.1,40.0,35.1,96.1,0.83,7.9
80,2,339.8,179.2,51.9,138.4,0.95,7.9
80,10,869.4,128.5,48.0,124.4,0.85,7.9
80,11,835.5,151.1,49.4,126.5,0.92,7.9
80,12,827.6,129.4,51.5,122.4,0.94,7.9
80,13,861.2,138.5,51.9,130.0,0.99,7.9
80,14,856.8,114.7,46.4,116.8,0.94,7.9
80,20,390.2,101.8,43.2,114.8,0.9,7.9
80,21,995.5,102.1,39.8,112.0,0.98,7.9
80,30,434.4,42.0,33.3,88.8,0.87,7.9
80,31,208.5,246.3,60.9,166.1,0.82,7.9
81,1,521.0,40.7,38.3,90.7,0.8,8.0
81,2,339.1,175.7,51.3,139.2,0.85,8.0
81,10,867.4,127.6,48.8,122.1,0.86,8.0
81,11,831.7,144.3,52.7,130.9,0.83,8.0
81,12,827.6,132.7,48.3,119.0,0.84,8.0
81,13,859.6,142.4,52.7,124.9,0.88,8.0
81,14,860.9,113.7,43.0,116.1,0.9,8.0
81,20,398.1,100.8,40.4,111.1,0.83,8.0
81,21,1002.8,105.3,40.3,111.9,0.93,8.0
81,30,436.6,36.5,34.0,94.0,0.88,8.0
81,31,215.1,241.3,69.7,160.9,0.86,8.0
82,1,516.0,37.5,38.3,95.5,0.84,8.1
82,2,330.6,182.8,50.1,137.0,0.98,8.1
82,10,870.4,129.3,48.1,121.2,0.88,8.1
82,11,827.6,152.4,55.9,124.5,0.93,8.1
82,12,829.9,134.0,51.6,119.9,0.99,8.1
82,13,860.8,139.3,49.9,128.3,0.85,8.1
82,14,860.4,115.1,44.9,117.5,0.83,8.1
82,20,392.7,103.3,49.4,114.2,0.88,8.1
82,21,992.3,105.3,42.8,113.8,0.87,8.1
82,30,438.3,37.1,35.2,91.5,0.86,8.1
82,31,215.2,240.8,61.2,158.7,0.83,8.1
83,1,518.3,40.2,38.9,91.9,0.94,8.2
83,2,338.0,176.8,57.3,139.5,0.91,8.2
83,10,870.9,123.7,52.9,127.2,0.85,8.2
83,11,827.6,146.1,52.3,129.1,0.83,8.2
83,12,828.4,131.0,54.4,123.0,0.97,8.2
83,13,860.1,146.8,54.5,121.5,0.9,8.2
83,14,859.6,113.7,42.8,118.8,0.93,8.2
83,20,387.7,104.4,46.3,116.0,0.8,8.2
83,21,991.2,98.7,39.3,111.4,0.88,8.2
83,30,435.1,39.0,36.7,89.4,0.9,8.2
83,31,212.7,243.4,65.2,156.7,0.87,8.2
84,1,520.4,37.8,35.2,94.6,0.88,8.3
84,2,336.3,179.4,53.4,139.7,0.93,8.3
84,10,874.4,127.7,44.9,121.6,0.94,8.3
